Date,Open,High,Low,Close,Adj Close,Volume
2022-09-16 04:00:00+00:00,2.725,2.93,2.03,2.22,2.22,46092.0
2022-09-19 04:00:00+00:00,1.85,1.9,1.55,1.645,1.645,6403.0
2022-09-20 04:00:00+00:00,1.61,1.77,1.59,1.6,1.6,9070.0
2022-09-21 04:00:00+00:00,1.4,1.41,1.38,1.4,1.4,2108.0
2022-09-22 04:00:00+00:00,1.35,1.35,1.27,1.3,1.3,1389.0
2022-09-23 04:00:00+00:00,1.3,1.3,1.3,1.3,1.3,0.0
2022-09-26 04:00:00+00:00,1.19,1.19,1.15,1.15,1.15,1257.0
2022-09-27 04:00:00+00:00,1.18,1.19,1.095,1.1,1.1,1400.0
2022-09-28 04:00:00+00:00,1.16,1.16,1.16,1.16,1.16,200.0
2022-09-29 04:00:00+00:00,1.12,1.13,1.12,1.13,1.13,786.0
2022-09-30 04:00:00+00:00,1.08,1.1,1.06,1.1,1.1,1207.0
2022-10-03 04:00:00+00:00,1.08,1.08,1.08,1.08,1.08,700.0
2022-10-04 04:00:00+00:00,1.08,1.08,1.08,1.08,1.08,0.0
2022-10-05 04:00:00+00:00,1.11,1.11,1.11,1.11,1.11,800.0
2022-10-06 04:00:00+00:00,1.1,1.1,1.1,1.1,1.1,209.0
2022-10-07 04:00:00+00:00,1.07,1.07,1.07,1.07,1.07,100.0
2022-10-10 04:00:00+00:00,1.13,1.13,1.13,1.13,1.13,300.0
2022-10-11 04:00:00+00:00,1.13,1.6,1.13,1.44,1.44,2250.0
2022-10-12 04:00:00+00:00,1.19,1.255,1.19,1.25,1.25,808.0
2022-10-13 04:00:00+00:00,1.25,1.25,1.25,1.25,1.25,0.0
2022-10-14 04:00:00+00:00,1.28,1.28,1.28,1.28,1.28,296.0
2022-10-17 04:00:00+00:00,1.33,1.35,1.27,1.33,1.33,1446.0
2022-10-18 04:00:00+00:00,1.36,1.36,1.28,1.3,1.3,1067.0
2022-10-19 04:00:00+00:00,1.3,1.3,1.3,1.3,1.3,0.0
2022-10-20 04:00:00+00:00,1.26,1.34,1.26,1.34,1.34,250.0
2022-10-21 04:00:00+00:00,1.31,1.39,1.31,1.35,1.35,565.0
2022-10-24 04:00:00+00:00,1.35,1.35,1.35,1.35,1.35,0.0
2022-10-25 04:00:00+00:00,1.35,1.35,1.35,1.35,1.35,0.0
2022-10-26 04:00:00+00:00,1.28,1.28,1.28,1.28,1.28,279.0
2022-10-27 04:00:00+00:00,1.28,1.28,1.28,1.28,1.28,0.0
2022-10-28 04:00:00+00:00,1.28,1.28,1.28,1.28,1.28,0.0
2022-10-31 04:00:00+00:00,1.37,1.45,1.37,1.45,1.45,885.0
2022-11-01 04:00:00+00:00,1.51,1.96,1.51,1.7,1.7,1004.0
2022-11-02 04:00:00+00:00,1.46,1.46,1.46,1.46,1.46,100.0
2022-11-03 04:00:00+00:00,1.5,1.57,1.5,1.56,1.56,1215.0
2022-11-04 04:00:00+00:00,1.62,1.62,1.62,1.62,1.62,252.0
2022-11-07 05:00:00+00:00,1.74,1.74,1.65,1.65,1.65,500.0
2022-11-08 05:00:00+00:00,1.52,1.75,1.52,1.71,1.71,707.0
2022-11-09 05:00:00+00:00,1.81,1.87,1.74,1.76,1.76,2947.0
2022-11-10 05:00:00+00:00,1.81,1.82,1.805,1.82,1.82,1000.0
2022-11-11 05:00:00+00:00,1.82,1.82,1.82,1.82,1.82,0.0
2022-11-14 05:00:00+00:00,1.84,1.85,1.84,1.85,1.85,200.0
2022-11-15 05:00:00+00:00,1.85,1.85,1.85,1.85,1.85,0.0
2022-11-16 05:00:00+00:00,1.74,1.74,1.74,1.74,1.74,250.0
2022-11-17 05:00:00+00:00,1.76,1.76,1.76,1.76,1.76,129.0
2022-11-18 05:00:00+00:00,1.7,1.7,1.7,1.7,1.7,101.0
2022-11-21 05:00:00+00:00,1.89,3.05,1.89,2.07,2.07,41329.0
2022-11-22 05:00:00+00:00,2.34,2.4,2.1,2.16,2.16,2665.0
2022-11-23 05:00:00+00:00,2.05,2.17,2.05,2.14,2.14,1050.0
2022-11-25 05:00:00+00:00,2.26,2.39,2.26,2.33,2.33,1100.0
2022-11-28 05:00:00+00:00,2.35,2.35,2.18,2.22,2.22,2224.0
2022-11-29 05:00:00+00:00,2.22,2.22,2.22,2.22,2.22,0.0
