Date,Open,High,Low,Close,Adj Close,Volume
2022-11-15 05:00:00+00:00,169.8,177.0,157.5,177.0,177.0,189.0
2022-11-16 05:00:00+00:00,157.2,157.2,154.8,156.3,156.3,19.0
2022-11-17 05:00:00+00:00,156.3,156.3,156.3,156.3,156.3,0.0
2022-11-18 05:00:00+00:00,175.8,177.9,165.9,171.0,171.0,24.0
2022-11-21 05:00:00+00:00,179.4,183.0,162.6,162.6,162.6,63.0
2022-11-22 05:00:00+00:00,142.2,143.4,126.6,143.4,143.4,95.0
2022-11-23 05:00:00+00:00,140.7,150.0,140.7,140.7,140.7,77.0
2022-11-25 05:00:00+00:00,140.7,140.7,140.7,140.7,140.7,0.0
2022-11-28 05:00:00+00:00,135.0,135.0,130.5,132.0,132.0,41.0
2022-11-29 05:00:00+00:00,117.0,117.0,99.0,99.0,99.0,16.0
2022-11-30 05:00:00+00:00,99.0,133.5,99.0,121.5,121.5,70.0
2022-12-01 05:00:00+00:00,121.5,121.5,121.5,121.5,121.5,0.0
2022-12-02 05:00:00+00:00,121.5,121.5,121.5,121.5,121.5,0.0
2022-12-05 05:00:00+00:00,113.7,118.2,113.7,118.2,118.2,9.0
2022-12-06 05:00:00+00:00,105.0,112.5,105.0,106.8,106.8,24.0
2022-12-07 05:00:00+00:00,101.4,101.4,99.3,99.3,99.3,16.0
2022-12-08 05:00:00+00:00,99.3,99.3,99.3,99.3,99.3,0.0
2022-12-09 05:00:00+00:00,93.6,93.6,93.6,93.6,93.6,3.0
2022-12-12 05:00:00+00:00,93.6,93.6,93.6,93.6,93.6,0.0
2022-12-13 05:00:00+00:00,114.0,118.5,97.2,97.5,97.5,203.0
2022-12-14 05:00:00+00:00,97.5,97.5,97.5,97.5,97.5,0.0
2022-12-15 05:00:00+00:00,120.0,147.6,110.1,121.8,121.8,514.0
2022-12-16 05:00:00+00:00,127.05,127.05,122.1,122.1,122.1,10.0
2022-12-19 05:00:00+00:00,114.6,114.6,111.3,113.1,113.1,25.0
2022-12-20 05:00:00+00:00,113.1,113.1,113.1,113.1,113.1,0.0
2022-12-21 05:00:00+00:00,116.4,116.4,116.4,116.4,116.4,3.0
2022-12-22 05:00:00+00:00,116.4,116.4,116.4,116.4,116.4,0.0
2022-12-23 05:00:00+00:00,117.9,117.9,117.9,117.9,117.9,3.0
2022-12-27 05:00:00+00:00,111.6,111.6,111.6,111.6,111.6,4.0
2022-12-28 05:00:00+00:00,106.8,109.2,100.5,100.8,100.8,65.0
2022-12-29 05:00:00+00:00,93.9,99.0,93.9,99.0,99.0,25.0
2022-12-30 05:00:00+00:00,99.0,99.0,99.0,99.0,99.0,0.0
2023-01-03 05:00:00+00:00,99.0,99.0,99.0,99.0,99.0,0.0
2023-01-04 05:00:00+00:00,99.0,99.0,99.0,99.0,99.0,0.0
2023-01-05 05:00:00+00:00,99.0,99.0,99.0,99.0,99.0,0.0
2023-01-06 05:00:00+00:00,102.3,102.3,102.3,102.3,102.3,3.0
2023-01-09 05:00:00+00:00,116.4,135.9,107.4,107.4,107.4,211.0
2023-01-10 05:00:00+00:00,118.5,131.1,110.55,126.75,126.75,136.0
2023-01-11 05:00:00+00:00,134.7,150.0,134.7,146.4,146.4,137.0
2023-01-12 05:00:00+00:00,145.8,145.8,135.3,141.6,141.6,54.0
2023-01-13 05:00:00+00:00,139.5,141.0,137.7,141.0,141.0,13.0
2023-01-17 05:00:00+00:00,142.8,142.8,123.0,128.7,128.7,60.0
2023-01-18 05:00:00+00:00,99.0,99.0,99.0,99.0,99.0,0.0
2023-01-19 05:00:00+00:00,126.0,128.7,126.0,128.7,128.7,17.0
